,Country,IdYear,NACE,IA_Adoption,GDPCap,Educ_Rate,Unemp_Rate,Share_Sector,RTI,NRA,NRI,RC,RM,NRM,Mean_RTI
0,Austria,23,C,0.05520297674418604,45510.0,0.38791161277108976,0.051,0.16842224487484425,-0.33726025554808337,0.19534095494283793,0.15580901143241427,0.1920282447881641,0.13938668459986553,0.3169038332212508,-0.3894321322932078
1,Austria,23,D,0.12675350000000002,45510.0,0.38791161277108976,0.051,0.006025597462906331,-0.3693233082706767,0.30345864661654137,0.23563909774436095,0.2571428571428572,0.06052631578947369,0.14323308270676693,-0.4176313248120301
2,Austria,23,E,0.014525,45510.0,0.38791161277108976,0.051,0.004145429833503227,-0.14639344262295084,0.07475409836065575,0.0918032786885246,0.24868852459016394,0.18000000000000002,0.4047540983606558,-0.18064757213114757
3,Austria,23,F,0.010688,45510.0,0.38791161277108976,0.051,0.07908030354513536,-0.2752420509882555,0.15186193067888856,0.11297049556001146,0.19380693211114292,0.1675995416786021,0.37361214551704386,-0.35452519283872813
4,Austria,23,G,0.030138636363636364,45510.0,0.38791161277108976,0.051,0.14262090837014385,-0.43818138500635334,0.14841486658195682,0.20751270648030498,0.21685991105463787,0.0629081956797967,0.3601334180432021,-0.4528249990628971
5,Austria,23,H,0.02078,45510.0,0.38791161277108976,0.051,0.04843130592366067,0.017689429373245975,0.11524321796071095,0.12398035547240412,0.2723854069223573,0.2377829747427502,0.2500046772684752,0.008263745322731497
6,Austria,23,I,0.0196238,45510.0,0.38791161277108976,0.051,0.05336957752859893,-0.5743972835314092,0.10676570458404076,0.21090407470288627,0.18019949066213922,0.030759762308998306,0.46571731748726664,-0.5798184747877759
7,Austria,23,J,0.1247925,45510.0,0.38791161277108976,0.051,0.035156869407633934,-0.7192396907216496,0.4870876288659794,0.32265463917525783,0.13582474226804125,0.006224226804123711,0.047899484536082476,-0.7272477528994846
8,Austria,23,L,0.03340666666666663,45510.0,0.38791161277108976,0.051,0.007588628383735418,-0.2735223880597015,0.22785074626865676,0.24582089552238806,0.3448358208955224,0.021582089552238806,0.15808955223880597,-0.3016970567164179
9,Austria,23,M,0.07017041666666667,45510.0,0.38791161277108976,0.051,0.06392569939970551,-0.556591070163005,0.40204819277108433,0.28198795180722896,0.20150248051027642,0.022048192771084343,0.09205527994330263,-0.5754498934089299
10,Austria,23,N,0.024059,45510.0,0.38791161277108976,0.051,0.036176237399478985,-0.483055729492799,0.12381966186599877,0.1553788353162179,0.1857608015028178,0.0725735754539762,0.4606199123356294,-0.5175090477144646
11,Austria,24,C,0.09496465,44740.0,0.39439375668357946,0.052000000000000005,0.1600009048545446,-0.3352127809981621,0.20261416654884773,0.15873179697440973,0.19328997596493708,0.13934398416513502,0.3055704792874311,-0.3856459543192422
12,Austria,24,D,0.08485899999999995,44740.0,0.39439375668357946,0.052000000000000005,0.005406505904175903,-0.3717573221757322,0.29648535564853556,0.2098744769874477,0.2383682008368201,0.07673640167364017,0.17853556485355648,-0.4208643878661088
13,Austria,24,E,0.08442649999999995,44740.0,0.39439375668357946,0.052000000000000005,0.0033479618151382165,-0.2395945945945946,0.09722972972972974,0.08736486486486487,0.15749999999999997,0.2241216216216216,0.4337837837837837,-0.27067258175675674
14,Austria,24,F,0.01836875,44740.0,0.39439375668357946,0.052000000000000005,0.07799846174727412,-0.2775580046403712,0.1521751740139211,0.11302494199535962,0.1925899071925754,0.16767401392111367,0.3743967517401392,-0.3569601584396751
15,Austria,24,G,0.050771000000000004,44740.0,0.39439375668357946,0.052000000000000005,0.14147400805320542,-0.42182283338663257,0.1405372561560601,0.202865366165654,0.22074832107451234,0.06712503997441638,0.36452990086344744,-0.43686981762072274
16,Austria,24,H,0.043708,44740.0,0.39439375668357946,0.052000000000000005,0.04816088313803556,0.004593705965241911,0.1222592766557069,0.13124001878816347,0.28414748708313764,0.21961484264913106,0.2421465476749648,-0.00736417388445279
17,Austria,24,I,0.07406033333333333,44740.0,0.39439375668357946,0.052000000000000005,0.0546984572230014,-0.5534739454094293,0.1094789081885856,0.2097890818858561,0.1834367245657568,0.03808933002481389,0.45370967741935486,-0.55862101509512
18,Austria,24,J,0.2118354285714286,44740.0,0.39439375668357946,0.052000000000000005,0.035085734968103875,-0.7222308188265635,0.4825725338491296,0.3175435203094778,0.13275306254029656,0.007840103159252095,0.05909090909090908,-0.7321713193423598
19,Austria,24,L,0.08179966666666666,44740.0,0.39439375668357946,0.052000000000000005,0.008912817264624711,-0.2883502538071066,0.24931472081218273,0.24964467005076146,0.33819796954314724,0.020583756345177666,0.14065989847715737,-0.3127776233502538
20,Austria,24,M,0.11976525,44740.0,0.39439375668357946,0.052000000000000005,0.06671040130299055,-0.5792132926415734,0.4116480162767039,0.285676500508647,0.19118684299762628,0.020979993218040012,0.09013903017972194,-0.5972463416412344
21,Austria,24,N,0.059249666666666666,44740.0,0.39439375668357946,0.052000000000000005,0.038184861783468305,-0.4482760663507108,0.10757701421800947,0.1474229857819905,0.20103672985781987,0.07473341232227487,0.46737559241706156,-0.48400145171800946
22,Belgium,23,C,0.03309713207547169,44120.0,0.5035828909388184,0.055,0.1151145343603081,-0.23797358359402154,0.20017900590893295,0.1569117135905457,0.2014372610358012,0.18009384775808135,0.2610149461244352,-0.27468275672575604
